Size,Random_Standard,Random_Intro,Reverse_Standard,Reverse_Intro,Almost_Standard,Almost_Intro
18100,2881,2487,2482,1610,1918,1457
18200,2920,2405,2603,1762,1936,1495
18300,2754,2392,2481,1587,1981,1563
18400,2771,2499,2560,1685,1962,1560
18500,2823,2559,2548,1772,2004,1569
18600,2862,2456,2446,1640,2002,1462
18700,2850,2504,2691,1714,1974,1454
18800,2911,2464,2647,1707,2037,1513
18900,2854,2484,2516,1694,2053,1576
19000,2840,2566,2535,1767,1951,1565
19100,3069,2630,2710,1673,1996,1552
19200,3078,2505,2588,1705,2033,1492
19300,2909,2604,2683,1728,1984,1616
19400,3030,2721,2624,1701,1975,1693
19500,3061,2641,2627,1752,2059,1597
19600,2997,2639,2653,1677,2032,1559
19700,3012,2661,2698,1678,2081,1573
19800,3054,2698,2586,1790,2104,1621
19900,3099,2686,2632,1749,2171,1739
20000,3143,2722,2739,1841,2129,1686
20100,3094,2711,2626,1817,2087,1635
20200,3341,2637,2663,1761,2117,1754
20300,3118,2853,2707,1869,2223,1661
20400,3142,2779,2802,1824,2179,1712
20500,3241,2753,2760,1888,2240,1764
20600,3328,2861,2686,1866,2172,1591
20700,3144,2841,2900,2407,2339,1659
20800,3301,2764,2840,1863,2167,1678
20900,3278,2898,2889,1857,2243,1711
21000,3373,2982,2837,1970,2231,1730
21100,3381,2827,2962,1865,2225,1697
21200,3293,2848,2864,2009,2255,1870
21300,3286,2921,3030,1886,2239,1812
21400,3282,2806,2878,2004,2292,1684
21500,3396,2904,2935,1965,2258,1777
21600,3412,2982,2897,2029,2342,1787
21700,3316,3089,2985,2058,2325,1786
21800,3421,2885,2953,1920,2348,1896
21900,3433,3025,2989,2047,2314,1874
22000,3451,2983,3147,1998,2356,1841
22100,3461,2947,3035,2168,2343,1790
22200,3411,3072,3073,2122,2367,1929
22300,3494,3115,3037,2105,2348,1861
22400,3587,3008,2970,2116,2488,1864
22500,3552,3210,3129,2032,2389,1859
22600,3541,3016,3152,2038,2418,1889
22700,3606,3049,3088,2071,2466,1868
22800,3630,3172,3100,2108,2455,1839
22900,3558,3003,3053,2020,2458,1989
23000,3611,3117,3070,2129,2545,1964
23100,3512,3198,3110,2168,2455,1904
23200,3613,3172,3352,2233,2470,1871
23300,3714,3197,3132,2035,2480,1887
23400,3634,3138,3365,2275,2605,2112
23500,3659,3353,3255,2073,2494,2031
23600,4026,3268,3201,2185,2529,1896
23700,3723,3214,3274,2322,2483,2104
23800,3715,3275,3441,2168,2269,1804
23900,3851,3306,3278,2215,2616,2131
24000,3878,3226,3349,2162,2590,1942
24100,3822,3455,3325,2217,2640,2048
24200,3839,3332,3280,2158,2566,2102
24300,3919,3332,3399,2340,2681,2120
24400,3754,3415,3257,2242,2578,2006
24500,3930,3284,3299,2306,2673,2115
24600,3937,3429,3352,2293,2642,2069
24700,3982,3376,3379,2467,2721,2096
24800,3969,3477,3301,2465,2626,2236
24900,4007,3614,3521,2304,2740,2153
25000,3994,3377,3604,2355,2584,2118
25100,3924,3484,3454,2316,2811,2147
25200,4005,3443,3561,2284,2806,2195
25300,4039,3491,3464,2624,2671,2225
25400,4167,3516,3504,2218,2721,2336
25500,4304,3612,3514,2368,2794,2127
25600,4117,3501,3593,2323,2765,2226
25700,4173,3631,3321,2401,2756,2550
25800,4149,3516,3503,2079,2718,1920
25900,4093,3565,3565,2551,2918,2235
26000,4359,3596,3534,2337,2728,2194
26100,4173,3697,3640,2601,2903,2305
26200,4269,3849,3707,2475,2804,2283
26300,4118,3635,3694,2500,2809,2456
26400,4313,3687,3689,2459,2972,2229
26500,4146,3693,3772,2413,2930,2258
26600,4174,3699,3768,2522,2902,2367
